b,n,s,t,g
1,Genesis,ปฐมกาล,OT,1
2,Exodus,อพยพ,OT,1
3,Leviticus,เลวีนิติ,OT,1
4,Numbers,กันดารวิถี,OT,1
5,Deuteronomy,เฉลยธรรมบัญญัติ,OT,1
6,Joshua,โยชูวา,OT,2
7,Judges,ผู้วินิจฉัย,OT,2
8,Ruth,นางรูธ,OT,2
9,1 Samuel,1 ซามูเอล,OT,2
10,2 Samuel,2 ซามูเอล,OT,2
11,1 Kings,1 พงศ์กษัตริย์,OT,2
12,2 Kings,2 พงศ์กษัตริย์,OT,2
13,1 Chronicles,1 พงศาวดาร,OT,2
14,2 Chronicles,2 พงศาวดาร,OT,2
15,Ezra,เอสรา,OT,2
16,Nehemiah,เนหะมีย์,OT,2
17,Esther,เอสเธอร์,OT,2
18,Job,โยบ,OT,3
19,Psalms,สดุดี,OT,3
20,Proverbs,สุภาษิต,OT,3
21,Ecclesiastes,ปัญญาจารย์,OT,3
22,Song of Solomon,เพลงซาโลมอน,OT,3
23,Isaiah,อิสยาห์,OT,4
24,Jeremiah,เยเรมีย์,OT,4
25,Lamentations,เพลงคร่ำครวญ,OT,4
26,Ezekiel,เอเสเคียล,OT,4
27,Daniel,ดาเนียล,OT,4
28,Hosea,โฮเชยา,OT,4
29,Joel,โยเอล,OT,4
30,Amos,อาโมส,OT,4
31,Obadiah,โอบาดีห์,OT,4
32,Jonah,โยนาห์,OT,4
33,Micah,มีคาห์,OT,4
34,Nahum,นาฮูม,OT,4
35,Habakkuk,ฮาบากุก,OT,4
36,Zephaniah,เศฟันยาห์,OT,4
37,Haggai,ฮักกัย,OT,4
38,Zechariah,เศคาริยาห์,OT,4
39,Malachi,มาลาคี,OT,4
40,Matthew,มัทธิว,NT,5
41,Mark,มาระโก,NT,5
42,Luke,ลูกา,NT,5
43,John,ยอห์น,NT,5
44,Acts,กิจการ,NT,6
45,Romans,โรม,NT,7
46,1 Corinthians,1 โครินธ์,NT,7
47,2 Corinthians,2 โครินธ์,NT,7
48,Galatians,กาลาเทีย,NT,7
49,Ephesians,เอเฟซัส,NT,7
50,Philippians,ฟีลิปปี,NT,7
51,Colossians,โคโลสี,NT,7
52,1 Thessalonians,1 เธสะโลนิกา,NT,7
53,2 Thessalonians,2 เธสะโลนิกา,NT,7
54,1 Timothy,1 ทิโมธี,NT,7
55,2 Timothy,2 ทิโมธี,NT,7
56,Titus,ทิตัส,NT,7
57,Philemon,ฟีเลโมน,NT,7
58,Hebrews,ฮีบรู,NT,7
59,James,ยากอบ,NT,7
60,1 Peter,1 เปโตร,NT,7
61,2 Peter,2 เปโตร,NT,7
62,1 John,1 ยอห์น,NT,7
63,2 John,2 ยอห์น,NT,7
64,3 John,3 ยอห์น,NT,7
65,Jude,ยูดา,NT,7
66,Revelation,วิวรณ์,NT,8